county_cas_data,county,state,FIPS,GISJOIN
Mckenzie,Mckenzie,North Dakota,38053,G3800530
San Joaquin,San Joaquin,California,06077,G0600770
Pima,Pima,Arizona,04019,G0400190
Jefferson,Jefferson,Oklahoma,40067,G4000670
Kalamazoo,Kalamazoo,Michigan,26077,G2600770
Edwards,Edwards,Illinois,17047,G1700470
Leon,Leon,Florida,12073,G1200730
Marshall,Marshall,Indiana,18099,G1800990
Arlington,Arlington,Virginia,51013,G5100130
Schoolcraft,Schoolcraft,Michigan,26153,G2601530
Saratoga,Saratoga,New York,36091,G3600910
Franklin,Franklin,New York,36033,G3600330
Mahaska,Mahaska,Iowa,19123,G1901230
Cass,Cass,Indiana,18017,G1800170
St Mary,St. Mary,Louisiana,22101,G2201010
Sagadahoc,Sagadahoc,Maine,23023,G2300230
Merrimack,Merrimack,New Hampshire,33013,G3300130
Santa Fe,Santa Fe,New Mexico,35049,G3500490
Apache,Apache,Arizona,04001,G0400010
Merced,Merced,California,06047,G0600470
Milam,Milam,Texas,48331,G4803310
Riley,Riley,Kansas,20161,G2001610
Breathitt,Breathitt,Kentucky,21025,G2100250
Mason,Mason,Illinois,17125,G1701250
Grays Harbor,Grays Harbor,Washington,53027,G5300270
Washington,Washington,Wisconsin,55131,G5501310
Neshoba,Neshoba,Mississippi,28099,G2800990
Bryan,Bryan,Georgia,13029,G1300290
Henry,Henry,Ohio,39069,G3900690
Walthall,Walthall,Mississippi,28147,G2801470
Stutsman,Stutsman,North Dakota,38093,G3800930
Racine,Racine,Wisconsin,55101,G5501010
York,York,Pennsylvania,42133,G4201330
Noble,Noble,Ohio,39121,G3901210
Morgan,Morgan,Illinois,17137,G1701370
Northumberland,Northumberland,Pennsylvania,42097,G4200970
Orleans,Orleans,Vermont,50019,G5000190
Pittsylvania,Pittsylvania,Virginia,51143,G5101430
Lincoln,Lincoln,Kentucky,21137,G2101370
Howard,Howard,Arkansas,05061,G0500610
Wyandotte,Wyandotte,Kansas,20209,G2002090
Geary,Geary,Kansas,20061,G2000610
Perry,Perry,Illinois,17145,G1701450
Montgomery,Montgomery,Iowa,19137,G1901370
Sullivan,Sullivan,Tennessee,47163,G4701630
Campbell,Campbell,Kentucky,21037,G2100370
Franklin (city),Franklin (ic),Virginia,51620,G5100670
Venango,Venango,Pennsylvania,42121,G4201210
Beauregard,Beauregard,Louisiana,22011,G2200110
Henry,Henry,Indiana,18065,G1800650
Snohomish,Snohomish,Washington,53061,G5300610
Buncombe,Buncombe,North Carolina,37021,G3700210
Wyoming,Wyoming,West Virginia,54109,G5401090
Stanislaus,Stanislaus,California,06099,G0600990
Dorchester,Dorchester,Maryland,24019,G2400190
Lancaster,Lancaster,South Carolina,45057,G4500570
Lawrence,Lawrence,Alabama,01079,G0100790
Clark,Clark,Washington,53011,G5300110
Tuscarawas,Tuscarawas,Ohio,39157,G3901570
Greene,Greene,Indiana,18055,G1800550
Wexford,Wexford,Michigan,26165,G2601650
Richland,Richland,Ohio,39139,G3901390
Adams,Adams,Illinois,17001,G1700010
Des Moines,Des Moines,Iowa,19057,G1900570
Big Horn,Big Horn,Wyoming,56003,G5600030
Hampden,Hampden,Massachusetts,25013,G2500130
Franklin,Franklin,Pennsylvania,42055,G4200550
Iredell,Iredell,North Carolina,37097,G3700970
Howard,Howard,Indiana,18067,G1800670
Washington,Washington,North Carolina,37187,G3701870
Washington,Washington,North Carolina,47179,G3701870
Wagoner,Wagoner,Oklahoma,40145,G4001450
Jackson,Jackson,Missouri,29095,G2900950
Liberty,Liberty,Georgia,13179,G1301790
Ohio,Ohio,West Virginia,54069,G5400690
Evansville,Evansville,Indiana,NA,NA
Bay,Bay,Florida,12005,G1200050
De Kalb,De Kalb,Illinois,17037,G1700370
Lapeer,Lapeer,Michigan,26087,G2600870
Lafayette,Lafayette,Arkansas,05073,G0500730
Coryell,Coryell,Texas,48099,G4800990
Barry,Barry,Missouri,29009,G2900090
Clermont,Clermont,Ohio,39025,G3900250
Yuba,Yuba,California,06115,G0601150
Calhoun,Calhoun,Mississippi,28013,G2800130
Wilson,Wilson,North Carolina,37195,G3701950
Jackson,Jackson,Florida,12063,G1200630
Van Wert,Van Wert,Ohio,39161,G3901610
York,York,Maine,23031,G2300310
Pike,Pike,Illinois,17149,G1701490
Wayne,Wayne,Kentucky,21231,G2102310
Nuckolls,Nuckolls,Nebraska,31129,G3101290
Covington,Covington,Alabama,01039,G0100390
Greene,Greene,Illinois,17061,G1700610
Brown,Brown,Minnesota,27015,G2700150
Sullivan,Sullivan,New Hampshire,33019,G3300190
Jackson,Jackson,Arkansas,05067,G0500670
Washabaugh,Washabaugh (ext),South Dakota,46131,G4601310
Berrien,Berrien,Georgia,13019,G1300190
Goodhue,Goodhue,Minnesota,27049,G2700490
Boone,Boone,Missouri,29019,G2900190
Freestone,Freestone,Texas,48161,G4801610
Grand Traverse,Grand Traverse,Michigan,26055,G2600550
Washington,Washington,Oregon,41067,G4100670
Tazewell,Tazewell,Virginia,51185,G5101850
Chilton,Chilton,Alabama,01021,G0100210
Whitley,Whitley,Kentucky,21235,G2102350
Denton,Denton,Texas,48121,G4801210
Fairfield,Fairfield,Ohio,39045,G3900450
Mower,Mower,Minnesota,27099,G2700990
Madison,Madison,Illinois,17119,G1701190
Dutchess,Dutchess,New York,36027,G3600270
Greene,Greene,Missouri,29077,G2900770
Avoyelles,Avoyelles,Louisiana,22009,G2200090
Montgomery,Montgomery,Maryland,24031,G2400310
Columbiana,Columbiana,Ohio,39029,G3900290
Montague,Montague,Texas,48337,G4803370
Audubon,Audubon,Iowa,19009,G1900090
Bullitt,Bullitt,Kentucky,21029,G2100290
Marion,Marion,Oregon,41047,G4100470
Vernon,Vernon,Wisconsin,55123,G5501230
Cass,Cass,Michigan,26027,G2600270
Outagamie,Outagamie,Wisconsin,55087,G5500870
Humboldt,Humboldt,California,06023,G0600230
Hughes,Hughes,Oklahoma,40063,G4000630
Union,Union,New Jersey,34039,G3400390
Henry,Henry,Iowa,19087,G1900870
Mercer,Mercer,Pennsylvania,42085,G4200850
Langlade,Langlade,Wisconsin,55067,G5500670
Dallas,Dallas,Arkansas,05039,G0500390
Monroe,Monroe,Arkansas,05095,G0500950
Palm Beach,Palm Beach,Florida,12099,G1200990
Cascade,Cascade,Montana,30013,G3000130
Gordon,Gordon,Georgia,13129,G1301290
Stephens,Stephens,Georgia,13257,G1302570
Mcminn,Mcminn,Tennessee,47107,G4701070
Pitt,Pitt,North Carolina,37147,G3701470
Toombs,Toombs,Georgia,13279,G1302790
Ashley,Ashley,Arkansas,05003,G0500030
Union,Union,Arkansas,05139,G0501390
Hale,Hale,Texas,48189,G4801890
Durham,Durham,North Carolina,37063,G3700630
Cumberland,Cumberland,New Jersey,34011,G3400110
Pennington,Pennington,South Dakota,46103,G4601030
Buchanan,Buchanan,Missouri,29021,G2900210
Alleghany,Alleghany,Virginia,51005,G5100050
Independence,Independence,Arkansas,05063,G0500630
Greene,Greene,New York,36039,G3600390
Fannin,Fannin,Texas,48147,G4801470
Forsyth,Forsyth,North Carolina,37067,G3700670
Hardin,Hardin,Kentucky,21093,G2100930
Broome,Broome,New York,36007,G3600070
Lavaca,Lavaca,Texas,48285,G4802850
Baldwin,Baldwin,Georgia,13009,G1300090
Jefferson,Jefferson,Washington,53031,G5300310
Hardee,Hardee,Florida,12049,G1200490
Socorro,Socorro,New Mexico,35053,G3500530
Chautauqua,Chautauqua,New York,36013,G3600130
Pasco,Pasco,Florida,12101,G1201010
Garrett,Garrett,Maryland,24023,G2400230
Lafayette,Lafayette,Missouri,29107,G2901070
Harlan,Harlan,Kentucky,21095,G2100950
Navarro,Navarro,Texas,48349,G4803490
Pickens,Pickens,South Carolina,45077,G4500770
Macomb,Macomb,Michigan,26099,G2600990
Wise,Wise,Virginia,51195,G5101950
Carter,Carter,Kentucky,21043,G2100430
Muskingum,Muskingum,Ohio,39119,G3901190
Madison,Madison,Tennessee,47113,G4701130
Rockwall,Rockwall,Texas,48397,G4803970
Lincoln,Lincoln,Missouri,29113,G2901130
Tucker,Tucker,West Virginia,54093,G5400930
Wapello,Wapello,Iowa,19179,G1901790
Lincoln,Lincoln,Maine,23015,G2300150
Douglas,Douglas,Kansas,20045,G2000450
Volusia,Volusia,Florida,12127,G1201270
Madison,Madison,Mississippi,28089,G2800890
White,White,Indiana,18181,G1801810
Charles,Charles,Maryland,24017,G2400170
Columbus,Columbus,North Carolina,37047,G3700470
Dawes,Dawes,Nebraska,31045,G3100450
Randolph,Randolph,Missouri,29175,G2901750
Sevier,Sevier,Tennessee,47155,G4701550
Allegany,Allegany,Maryland,24001,G2400010
Comanche,Comanche,Texas,48093,G4800930
Sedgwick,Sedgwick,Kansas,20173,G2001730
Fannin,Fannin,Georgia,13111,G1301110
Howard,Howard,Texas,48227,G4802270
Jackson,Jackson,Kansas,20085,G2000850
Henry,Henry,Alabama,01067,G0100670
Coshen,Goshen,Wyoming,NA,G5600150
Gasconade,Gasconade,Missouri,29073,G2900730
Moore,Moore,Texas,48341,G4803410
Lawrence,Lawrence,Ohio,39087,G3900870
Craighead,Craighead,Arkansas,05031,G0500310
Erie,Erie,Ohio,39043,G3900430
Houston,Houston,Georgia,13153,G1301530
De Soto,Desoto,Louisiana,22031,G2200310
Hopkins,Hopkins,Kentucky,21107,G2101070
Hardeman,Hardeman,Texas,48197,G4801970
Clark,Clark,Kentucky,21049,G2100490
Pinellas,Pinellas,Florida,12103,G1201030
Houston,Houston,Texas,48225,G4802250
Polk,Polk,Georgia,13233,G1302330
Mckinley,Mckinley,New Mexico,35031,G3500310
La Porte,La Porte,Indiana,18091,G1800910
Midland,Midland,Michigan,26111,G2601110
Miller,Miller,Missouri,29131,G2901310
Platte,Platte,Wyoming,56031,G5600310
Nicholas,Nicholas,West Virginia,54067,G5400670
Wichita,Wichita,Kansas,20203,G2002030
Iron,Iron,Wisconsin,55051,G5500510
Washington,Washington,Rhode Island,44009,G4400090
Grant,Grant,Wisconsin,55043,G5500430
Blaine,Blaine,Idaho,16013,G1600130
Alamance,Alamance,North Carolina,37001,G3700010
Rutherford,Rutherford,North Carolina,37161,G3701610
Clay,Clay,Kentucky,21051,G2100510
Monongalia,Monongalia,West Virginia,54061,G5400610
Lauderdale,Lauderdale,Alabama,01077,G0100770
Polk,Polk,Arkansas,05113,G0501130
Fayette,Fayette,Kentucky,21067,G2100670
Fort Bend,Fort Bend,Texas,48157,G4801570
Benzie,Benzie,Michigan,26019,G2600190
Ware,Ware,Georgia,13299,G1302990
Halifax,Halifax,North Carolina,37083,G3700830
Lauderdale,Lauderdale,Mississippi,28075,G2800750
Ontario,Ontario,New York,36069,G3600690
Lafayette,Lafayette,Mississippi,28071,G2800710
Lawrence,Lawrence,Pennsylvania,42073,G4200730
Posey,Posey,Indiana,18129,G1801290
Grant,Grant,North Dakota,38037,G3800370
Wasco,Wasco,Oregon,41065,G4100650
Genesee,Genesee,New York,36037,G3600370
Marion,Marion,West Virginia,54049,G5400490
Delaware,Delaware,Indiana,18035,G1800350
Douglas,Douglas,Missouri,29067,G2900670
La Salle,La Salle,Illinois,17099,G1700990
Clinton,Clinton,Indiana,18023,G1800230
Bonner,Bonner,Idaho,16017,G1600170
Piatt,Piatt,Illinois,17147,G1701470
Columbia,Columbia,Wisconsin,55021,G5500210
Kalkaska,Kalkaska,Michigan,26079,G2600790
Lane,Lane,Oregon,41039,G4100390
Tioga,Tioga,New York,36107,G3601070
Gilmer,Gilmer,West Virginia,54021,G5400210
Natchitoches,Natchitoches,Louisiana,22069,G2200690
Berkeley,Berkeley,South Carolina,45015,G4500150
Johnson,Johnson,Texas,48251,G4802510
Indiana,Indiana,Pennsylvania,42063,G4200630
Iberia,Iberia,Louisiana,22045,G2200450
Suffolk,Suffolk,New York,36103,G3601030
Shawano,Shawano,Wisconsin,55115,G5501150
Claiborne,Claiborne,Louisiana,22027,G2200270
Marin,Marin,California,06041,G0600410
Le Sueur,Le Sueur,Minnesota,27079,G2700790
Monroe,Monroe,Georgia,13207,G1302070
Yolo,Yolo,California,06113,G0601130
Adair,Adair,Missouri,29001,G2900010
Hardeman,Hardeman,Tennessee,47069,G4700690
Amite,Amite,Mississippi,28005,G2800050
Newaygo,Newaygo,Michigan,26123,G2601230
Faribault,Faribault,Minnesota,27043,G2700430
Choctaw,Choctaw,Oklahoma,40023,G4000230
Los Alamos,Los Alamos,New Mexico,35028,G3500280
Calhoun,Calhoun,Florida,12013,G1200130
Tarrant,Tarrant,Texas,48439,G4804390
Iron,Iron,Michigan,26071,G2600710
Hardin,Hardin,Ohio,39065,G3900650
Plymouth,Plymouth,Massachusetts,25023,G2500230
Crawford,Crawford,Illinois,17033,G1700330
Crittenden,Crittenden,Arkansas,05035,G0500350
Cass,Cass,Missouri,29037,G2900370
Eau Claire,Eau Claire,Wisconsin,55035,G5500350
Benton,Benton,Washington,53005,G5300050
Grayson,Grayson,Texas,48181,G4801810
Refugio,Refugio,Texas,48391,G4803910
Warwick,Warwick (ext),Virginia,51189,G5101890
Elkhart,Elkhart,Indiana,18039,G1800390
Fulton,Fulton,Illinois,17057,G1700570
Warren,Warren,Iowa,19181,G1901810
Williams,Williams,Ohio,39171,G3901710
Chester,Chester,Pennsylvania,42029,G4200290
Lawrence,Lawrence,South Dakota,46081,G4600810
Taylor,Taylor,Wisconsin,55119,G5501190
Sonoma,Sonoma,California,06097,G0600970
Branch,Branch,Michigan,26023,G2600230
Niagara,Niagara,New York,36063,G3600630
Parker,Parker,Texas,48367,G4803670
Allamakee,Allamakee,Iowa,19005,G1900050
Paulding,Paulding,Georgia,13223,G1302230
Stafford,Stafford,Kansas,20185,G2001850
Shannon,Shannon,Missouri,29203,G2902030
Marion,Marion,Ohio,39101,G3901010
Cass,Cass,North Dakota,38017,G3800170
Montgomery,Montgomery,Texas,48339,G4803390
Augusta,Augusta,Virginia,51015,G5100150
Hamilton,Hamilton,Nebraska,31081,G3100810
Screven,Screven,Georgia,13251,G1302510
Fremont,Fremont,Colorado,08043,G0800430
Gallatin,Gallatin,Kentucky,21077,G2100770
Luce,Luce,Michigan,26095,G2600950
Leake,Leake,Mississippi,28079,G2800790
Floyd,Floyd,Iowa,19067,G1900670
Wood,Wood,West Virginia,54107,G5401070
Montgomery,Montgomery,Kentucky,21173,G2101730
Susquehanna,Susquehanna,Pennsylvania,42115,G4201150
Solano,Solano,California,06095,G0600950
Butte,Butte,California,06007,G0600070
Creek,Creek,Oklahoma,40037,G4000370
Mclean,Mclean,North Dakota,38055,G3800550
Clarke,Clarke,Mississippi,28023,G2800230
Laurens,Laurens,Georgia,13175,G1301750
George,George,Mississippi,28039,G2800390
Vermillion,Vermillion,Indiana,18165,G1801650
Shiawassee,Shiawassee,Michigan,26155,G2601550
Dawson,Dawson,Texas,48115,G4801150
Rowan,Rowan,Kentucky,21205,G2102050
Marion,Marion,Alabama,01093,G0100930
Ohio,Ohio,Kentucky,21183,G2101830
Etowah,Etowah,Alabama,01055,G0100550
Oconee,Oconee,South Carolina,45073,G4500730
Kandiyohi,Kandiyohi,Minnesota,27067,G2700670
Dunn,Dunn,Wisconsin,55033,G5500330
Taylor,Taylor,Iowa,19173,G1901730
Platte,Platte,Nebraska,31141,G3101410
Boone,Boone,Iowa,19015,G1900150
Jefferson,Jefferson,Ohio,39081,G3900810
Eagle,Eagle,Colorado,08037,G0800370
Vanderburgh,Vanderburgh,Indiana,18163,G1801630
Clayton,Clayton,Iowa,19043,G1900430
Morgan,Morgan,Indiana,18109,G1801090
De Witt,De Witt,Illinois,17039,G1700390
Payne,Payne,Oklahoma,40119,G4001190
Wadena,Wadena,Minnesota,27159,G2701590
Nemaha,Nemaha,Kansas,20131,G2001310
Owen,Owen,Indiana,18119,G1801190
Belmont,Belmont,Ohio,39013,G3900130
Drew,Drew,Arkansas,05043,G0500430
Johnson,Johnson,Arkansas,05071,G0500710
Grady,Grady,Georgia,13131,G1301310
Osceola,Osceola,Iowa,19143,G1901430
Jewell,Jewell,Kansas,20089,G2000890
Lee,Lee,Iowa,19111,G1901110
Seneca,Seneca,Ohio,39147,G3901470
Emmet,Emmet,Iowa,19063,G1900630
Hawkins,Hawkins,Tennessee,47073,G4700730
Clarion,Clarion,Pennsylvania,42031,G4200310
Macoupin,Macoupin,Illinois,17117,G1701170
Knox,Knox,Maine,23013,G2300130
Macon,Macon,Illinois,17115,G1701150
Sawyer,Sawyer,Wisconsin,55113,G5501130
Walworth,Walworth,Wisconsin,55127,G5501270
Taylor,Taylor,Texas,48441,G4804410
Madison,Madison,Florida,12079,G1200790
Harrison,Harrison,Texas,48203,G4802030
Oregon,Oregon,Missouri,29149,G2901490
Edgar,Edgar,Illinois,17045,G1700450
Galveston,Galveston,Texas,48167,G4801670
Evans,Evans,Georgia,13109,G1301090
Walton,Walton,Florida,12131,G1201310
Walker,Walker,Georgia,13295,G1302950
Greene,Greene,Ohio,39057,G3900570
Spencer,Spencer,Indiana,18147,G1801470
Horry,Horry,South Carolina,45051,G4500510
Morehouse,Morehouse,Louisiana,22067,G2200670
Sulphur,Sulphur,Oklahoma,NA,NA
Boyd,Boyd,Kentucky,21019,G2100190
Dickson,Dickson,Tennessee,47043,G4700430
Ulster,Ulster,New York,36111,G3601110
Rensselaer,Rensselaer,New York,36083,G3600830
Oswego,Oswego,New York,36075,G3600750
Howard,Howard,Missouri,29089,G2900890
Gallia,Gallia,Ohio,39053,G3900530
Shannon,Shannon,South Dakota,46113,G4601130
Livingston,Livingston,Kentucky,21139,G2101390
Williamson,Williamson,Illinois,17199,G1701990
Hampton (city),Hampton (ic),Virginia,51650,G5106500
White Pine,White Pine,Nevada,32033,G3200330
Mercer,Mercer,New Jersey,34021,G3400210
Bergen,Bergen,New Jersey,34003,G3400030
Warrick,Warrick,Indiana,18173,G1801730
Jefferson,Jefferson,New York,36045,G3600450
Jasper,Jasper,Illinois,17079,G1700790
Crawford,Crawford,Kansas,20037,G2000370
Aitkin,Aitkin,Minnesota,27001,G2700010
Chenango,Chenango,New York,36017,G3600170
Watauga,Watauga,North Carolina,37189,G3701890
Fayette,Fayette,West Virginia,54019,G5400190
Carbon,Carbon,Pennsylvania,42025,G4200250
Blue Earth,Blue Earth,Minnesota,27013,G2700130
Delaware,Delaware,Pennsylvania,42045,G4200450
Jackson,Jackson,West Virginia,54035,G5400350
Cheboygan,Cheboygan,Michigan,26031,G2600310
Brevard,Brevard,Florida,12009,G1200090
Lincoln,Lincoln,Georgia,13181,G1301810
Harrison,Harrison,Missouri,29081,G2900810
Henry,Henry,Illinois,17073,G1700730
St Marys,St. Marys,Maryland,24037,G2400370
Fayette,Fayette,Ohio,39047,G3900470
Prince George's,Prince Georges,Maryland,24033,G2400330
Oklahoma,Oklahoma,Oklahoma,40109,G4001090
Fillmore,Fillmore,Minnesota,27045,G2700450
Sutter,Sutter,California,06101,G0601010
Middlesex,Middlesex,New Jersey,34023,G3400230
Mcduffie,Mcduffie,Georgia,13189,G1301890
Charleston,Charleston,South Carolina,45019,G4500190
Ritchie,Ritchie,West Virginia,54085,G5400850
Grand Forks,Grand Forks,North Dakota,38035,G3800350
Dawson,Dawson,Montana,30021,G3000210
Clearwater,Clearwater,Minnesota,27029,G2700290
Marshall,Marshall,Minnesota,27089,G2700890
Missaukee,Missaukee,Michigan,26113,G2601130
Arapahoe,Arapahoe,Colorado,08005,G0800050
Marathon,Marathon,Wisconsin,55073,G5500730
Twin Falls,Twin Falls,Idaho,16083,G1600830
Litchfield,Litchfield,Connecticut,09005,G0900050
Redwood,Redwood,Minnesota,27127,G2701270
Winnebago,Winnebago,Wisconsin,55139,G5501390
Collier,Collier,Florida,12021,G1200210
Polk,Polk,Minnesota,27119,G2701190
Dillon,Dillon,South Carolina,45033,G4500330
Orangeburg,Orangeburg,South Carolina,45075,G4500750
Aroostook,Aroostook,Maine,23003,G2300030
Van Buren,Van Buren,Michigan,26159,G2601590
Lenoir,Lenoir,North Carolina,37107,G3701070
Mesa,Mesa,Colorado,08077,G0800770
Tyler,Tyler,West Virginia,54095,G5400950
Monroe,Monroe,Wisconsin,55081,G5500810
Jefferson,Jefferson,Tennessee,47089,G4700890
Preston,Preston,West Virginia,54077,G5400770
Baldwin,Baldwin,Alabama,01003,G0100030
Tom Green,Tom Green,Texas,48451,G4804510
Taylor,Taylor,West Virginia,54091,G5400910
E Baton Rouge,East Baton Rouge,Louisiana,22033,G2200330
Pierce,Pierce,North Dakota,38069,G3800690
Webster,Webster,West Virginia,54101,G5401010
Bay,Bay,Michigan,26017,G2600170
Crawford,Crawford,Pennsylvania,42039,G4200390
Champaign,Champaign,Ohio,39021,G3900210
Oxford,Oxford,Maine,23017,G2300170
Greene,Greene,Pennsylvania,42059,G4200590
Douglas,Douglas,South Dakota,46043,G4600430
Rockingham,Rockingham,New Hampshire,33015,G3300150
Mcdowell,Mcdowell,North Carolina,37111,G3701110
Cobb,Cobb,Georgia,13067,G1300670
Richland,Richland,Louisiana,22083,G2200830
Yates,Yates,New York,36123,G3601230
Franklin,Franklin,Massachusetts,25011,G2500110
Carroll,Carroll,Maryland,24013,G2400130
Lincoln,Lincoln,Oregon,41041,G4100410
Valdez-cordova,Valdez-cordova,Alaska,02261,NA
Newton,Newton,Indiana,18111,G1801110
Osage,Osage,Missouri,29151,G2901510
Caldwell,Caldwell,Kentucky,21033,G2100330
Clarendon,Clarendon,South Carolina,45027,G4500270
Macon,Macon,Tennessee,47111,G4701110
Cherokee,Cherokee,Oklahoma,40021,G4000210
Rutland,Rutland,Vermont,50021,G5000210
Mcleod,Mcleod,Minnesota,27085,G2700850
Dakota,Dakota,Minnesota,27037,G2700370
New Castle,New Castle,Delaware,10003,G1000030
Johnson,Johnson,Tennessee,47091,G4700910
Douglas,Douglas,Georgia,13097,G1300970
Winn,Winn,Louisiana,22127,G2201270
Crittenden,Crittenden,Kentucky,21055,G2100550
Kings,Kings,California,06031,G0600310
Saline,Saline,Illinois,17165,G1701650
Big Horn,Big Horn,Montana,30003,G3000030
Becker,Becker,Minnesota,27005,G2700050
Yalobusha,Yalobusha,Mississippi,28161,G2801610
Marshall,Marshall,Oklahoma,40095,G4000950
Cherokee,Cherokee,Alabama,01019,G0100190
Taney,Taney,Missouri,29213,G2902130
Osage,Osage,Oklahoma,40113,G4001130
Rutherford,Rutherford,Tennessee,47149,G4701490
Yakima,Yakima,Washington,53077,G5300770
Fillmore,Fillmore,Nebraska,31059,G3100590
Shelby,Shelby,Ohio,39149,G3901490
Morgan,Morgan,Georgia,13211,G1302110
Henry,Henry,Tennessee,47079,G4700790
Lamar,Lamar,Mississippi,28073,G2800730
Licking,Licking,Ohio,39089,G3900890
Garden,Garden,Nebraska,31069,G3100690
Taylor,Taylor,Florida,12123,G1201230
Conway,Conway,Arkansas,05029,G0500290
Caddo,Caddo,Louisiana,22017,G2200170
Hamblen,Hamblen,Tennessee,47063,G4700630
Modoc,Modoc,California,06049,G0600490
Rowan,Rowan,North Carolina,37159,G3701590
Columbia,Columbia,Pennsylvania,42037,G4200370
Rusk,Rusk,Wisconsin,55107,G5501070
Bourbon,Bourbon,Kentucky,21017,G2100170
Del Norte,Del Norte,California,06015,G0600150
Lee,Lee,North Carolina,37105,G3701050
Lancaster,Lancaster,Virginia,51103,G5101030
Chesterfield,Chesterfield,South Carolina,45025,G4500250
Allegany,Allegany,New York,36003,G3600030
Miller,Miller,Arkansas,05091,G0500910
Cherokee,Cherokee,Kansas,20021,G2000210
Windham,Windham,Connecticut,09015,G0900150
Henderson,Henderson,Kentucky,21101,G2101010
Culpeper,Culpeper,Virginia,51047,G5100470
Lee,Lee,South Carolina,45061,G4500610
Oktibbeha,Oktibbeha,Mississippi,28105,G2801050
Wythe,Wythe,Virginia,51197,G5101970
York,York,South Carolina,45091,G4500910
Monroe,Monroe,Michigan,26115,G2601150
Monroe,Monroe,Kentucky,21171,G2101710
Albany,Albany,New York,36001,G3600010
Kent,Kent,Delaware,10001,G1000010
Pulaski,Pulaski,Indiana,18131,G1801310
Otero,Otero,Colorado,08089,G0800890
Craig,Craig,Virginia,51045,G5100450
Roane,Roane,West Virginia,54087,G5400870
Johnson,Johnson,Kentucky,21115,G2101150
Silver Bow,Silver Bow,Montana,30093,G3000930
Day,Day,South Dakota,46037,G4600370
Wayne,Wayne,Illinois,17191,G1701910
Green,Green,Wisconsin,55045,G5500450
Stark,Stark,North Dakota,38089,G3800890
Utah,Utah,Utah,49049,G4900490
Livingston,Livingston,Louisiana,22063,G2200630
Kay,Kay,Oklahoma,40071,G4000710
Barron,Barron,Wisconsin,55005,G5500050
Shenandoah,Shenandoah,Virginia,51171,G5101710
Mineral,Mineral,West Virginia,54057,G5400570
Graves,Graves,Kentucky,21083,G2100830
Oneida,Oneida,Wisconsin,55085,G5500850
Atchison,Atchison,Kansas,20005,G2000050
Grayson,Grayson,Virginia,51077,G5100770
Tishomingo,Tishomingo,Mississippi,28141,G2801410
Hall,Hall,Texas,48191,G4801910
Randolph,Randolph,Illinois,17157,G1701570
Colleton,Colleton,South Carolina,45029,G4500290
Brooke,Brooke,West Virginia,54009,G5400090
Washington,Washington,Arkansas,05143,G0501430
Tuscola,Tuscola,Michigan,26157,G2601570
Ohio,Ohio,Indiana,18115,G1801150
Addison,Addison,Vermont,50001,G5000010
Pontotoc,Pontotoc,Mississippi,28115,G2801150
Van Buren,Van Buren,Arkansas,05141,G0501410
Giles,Giles,Tennessee,47055,G4700550
Gibson,Gibson,Tennessee,47053,G4700530
Alexander,Alexander,Illinois,17003,G1700030
Morgan,Morgan,Colorado,08087,G0800870
Athens,Athens,Ohio,39009,G3900090
Dodge,Dodge,Nebraska,31053,G3100530
Bennington,Bennington,Vermont,50003,G5000030
Carbon,Carbon,Utah,49007,G4900070
Carroll,Carroll,Virginia,51035,G5100350
Pickens,Pickens,Alabama,01107,G0101070
Antelope,Antelope,Nebraska,31003,G3100030
St James,St. James,Louisiana,22093,G2200930
Stone,Stone,Mississippi,28131,G2801310
Yamhill,Yamhill,Oregon,41071,G4100710
Knox,Knox,Indiana,18083,G1800830
Geauga,Geauga,Ohio,39055,G3900550
Marion,Marion,Illinois,17121,G1701210
Wabash,Wabash,Indiana,18169,G1801690
Armstrong,Armstrong,Pennsylvania,42005,G4200050
Tangipahoa,Tangipahoa,Louisiana,22105,G2201050
Jefferson,Jefferson,Wisconsin,55055,G5500550
Cape Girardeau,Cape Girardeau,Missouri,29031,G2900310
Buchanan,Buchanan,Iowa,19019,G1900190
Prince George,Prince George,Virginia,51149,G5101490
Clearfield,Clearfield,Pennsylvania,42033,G4200330
Barnstable,Barnstable,Massachusetts,25001,G2500010
Anderson,Anderson,Tennessee,47001,G4700010
Conecuh,Conecuh,Alabama,01035,G0100350
Sebastian,Sebastian,Arkansas,05131,G0501310
Madison,Madison,Indiana,18095,G1800950
Elmore,Elmore,Alabama,01051,G0100510
Bracken,Bracken,Kentucky,21023,G2100230
Tolland,Tolland,Connecticut,09013,G0900130
Fleming,Fleming,Kentucky,21069,G2100690
Santa Rosa,Santa Rosa,Florida,12113,G1201130
Schenectady,Schenectady,New York,36093,G3600930
Blount,Blount,Tennessee,47009,G4700090
Ocean,Ocean,New Jersey,34029,G3400290
Hamilton,Hamilton,Illinois,17065,G1700650
Logan,Logan,North Dakota,38047,G3800470
Hot Spring,Hot Spring,Arkansas,05059,G0500590
Marlboro,Marlboro,South Carolina,45069,G4500690
Todd,Todd,Minnesota,27153,G2701530
Gratiot,Gratiot,Michigan,26057,G2600570
Audrain,Audrain,Missouri,29007,G2900070
Christian,Christian,Illinois,17021,G1700210
Jasper,Jasper,Iowa,19099,G1900990
Acadia,Acadia,Louisiana,22001,G2200010
Skagit,Skagit,Washington,53057,G5300570
