county_cas_data,county,state,FIPS,GISJOIN
Lincoln,Lincoln,West Virginia,54043,G5400430
Summers,Summers,West Virginia,54089,G5400890
Aiken,Aiken,South Carolina,45003,G4500030
Black Hawk,Black Hawk,Iowa,19013,G1900130
Lawrence,Lawrence,Arkansas,05075,G0500750
King,King,Washington,53033,G5300330
Douglas,Douglas,Nebraska,31055,G3100550
Walsh,Walsh,North Dakota,38099,G3800990
Du Page,Du Page,Illinois,17043,G1700430
Runnels,Runnels,Texas,48399,G4803990
Appanoose,Appanoose,Iowa,19007,G1900070
Worcester,Worcester,Massachusetts,25027,G2500270
Providence,Providence,Rhode Island,44007,G4400070
Westchester,Westchester,New York,36119,G3601190
Mccormick,Mccormick,South Carolina,45065,G4500650
Hancock,Hancock,Maine,23009,G2300090
Cameron,Cameron,Texas,48061,G4800610
Harris,Harris,Texas,48201,G4802010
El Paso,El Paso,Texas,48141,G4801410
Fresno,Fresno,California,06019,G0600190
Santa Barbara,Santa Barbara,California,06083,G0600830
Bexar,Bexar,Texas,48029,G4800290
San Francisco,San Francisco,California,06075,G0600750
St Clair,St. Clair,Michigan,26147,G2601470
Columbia,Columbia,New York,36021,G3600210
Mclennan,Mclennan,Texas,48309,G4803090
Summit,Summit,Ohio,39153,G3901530
West Carroll,West Carroll,Louisiana,22123,G2201230
Hinds,Hinds,Mississippi,28049,G2800490
Bryan,Bryan,Oklahoma,40013,G4000130
Atoka,Atoka,Oklahoma,40005,G4000050
Carroll,Carroll,Illinois,17015,G1700150
Cass,Cass,Minnesota,27021,G2700210
Assumption,Assumption,Louisiana,22007,G2200070
Mercer,Mercer,West Virginia,54055,G5400550
Roanoke (city),Roanoke (ic),Virginia,51770,G5107700
Fulton,Fulton,Pennsylvania,42057,G4200570
Lawrence,Lawrence,Kentucky,21127,G2101270
Webster,Webster,Missouri,29225,G2902250
Logan,Logan,Ohio,39091,G3900910
Pottawatomie,Pottawatomie,Oklahoma,40125,G4001250
Midland,Midland,Texas,48329,G4803290
Bulloch,Bulloch,Georgia,13031,G1300310
Chatham,Chatham,Georgia,13051,G1300510
Okfuskee,Okfuskee,Oklahoma,40107,G4001070
De Kalb,Dekalb,Georgia,13089,G1300890
Spalding,Spalding,Georgia,13255,G1302550
Baltimore,Baltimore,Maryland,24005,G2400050
Wilkin,Wilkin,Minnesota,27167,G2701670
Kleberg,Kleberg,Texas,48273,G4802730
Orange,Orange,California,06059,G0600590
Beaver,Beaver,Pennsylvania,42007,G4200070
Linn,Linn,Iowa,19113,G1901130
Clay,Clay,Missouri,29047,G2900470
Prowers,Prowers,Colorado,08099,G0800990
Sumter,Sumter,Georgia,13261,G1302610
Dodge,Dodge,Wisconsin,55027,G5500270
Darlington,Darlington,South Carolina,45031,G4500310
Marion,Marion,Indiana,18097,G1800970
Strafford,Strafford,New Hampshire,33017,G3300170
Kennebec,Kennebec,Maine,23011,G2300110
Tuolumne,Tuolumne,California,06109,G0601090
Montgomery,Montgomery,Virginia,51121,G5101210
Polk,Polk,Wisconsin,55095,G5500950
Mcdowell,Mcdowell,West Virginia,54047,G5400470
Tulsa,Tulsa,Oklahoma,40143,G4001430
Spokane,Spokane,Washington,53063,G5300630
Manitowoc,Manitowoc,Wisconsin,55071,G5500710
Ramsey,Ramsey,Minnesota,27123,G2701230
Allegheny,Allegheny,Pennsylvania,42003,G4200030
Morgan,Morgan,West Virginia,54065,G5400650
Montgomery,Montgomery,Tennessee,47125,G4701250
Curry,Curry,New Mexico,35009,G3500090
Lee,Lee,Alabama,01081,G0100810
Monmouth,Monmouth,New Jersey,34025,G3400250
San Mateo,San Mateo,California,06081,G0600810
Cochise,Cochise,Arizona,04003,G0400030
Garfield,Garfield,Nebraska,31071,G3100710
Avery,Avery,North Carolina,37011,G3700110
Fayette,Fayette,Alabama,01057,G0100570
Hillsborough,Hillsborough,Florida,12057,G1200570
Trumbull,Trumbull,Ohio,39155,G3901550
Lancaster,Lancaster,Nebraska,31109,G3101090
Henderson,Henderson,Illinois,17071,G1700710
Pierce,Pierce,Washington,53053,G5300530
Middlesex,Middlesex,Massachusetts,25017,G2500170
Erath,Erath,Texas,48143,G4801430
East Baton Rouge,East Baton Rouge,Louisiana,22033,G2200330
Leflore,Leflore,Mississippi,28083,G2800830
Carroll,Carroll,Georgia,13045,G1300450
Kankakee,Kankakee,Illinois,17091,G1700910
Belknap,Belknap,New Hampshire,33001,G3300010
Orleans,Orleans,Louisiana,22071,G2200710
Lubbock,Lubbock,Texas,48303,G4803030
Calhoun,Calhoun,Michigan,26025,G2600250
Greenwood,Greenwood,Kansas,20073,G2000730
Pierce,Pierce,Georgia,13229,G1302290
Pulaski,Pulaski,Missouri,29169,G2901690
Lawrence,Lawrence,Mississippi,28077,G2800770
Washtenaw,Washtenaw,Michigan,26161,G2601610
Johnson,Johnson,Kansas,20091,G2000910
Lincoln,Lincoln,North Carolina,37109,G3701090
Pemiscot,Pemiscot,Missouri,29155,G2901550
Adair,Adair,Kentucky,21001,G2100010
Honolulu,Honolulu,Hawaii,15003,G1550035
Wayne,Wayne,New York,36117,G3601170
Morgan,Morgan,Alabama,01103,G0101030
Fulton,Fulton,Georgia,13121,G1301210
Kenton,Kenton,Kentucky,21117,G2101170
Montgomery,Montgomery,Pennsylvania,42091,G4200910
Cerro Gordo,Cerro Gordo,Iowa,19033,G1900330
Cass,Cass,Nebraska,31025,G3100250
Craig,Craig,Oklahoma,40035,G4000350
Ouachita,Ouachita,Louisiana,22073,G2200730
Le Flore,Le Flore,Oklahoma,40079,G4000790
Mississippi,Mississippi,Missouri,29133,G2901330
Lafayette,Lafayette,Louisiana,22055,G2200550
Allen,Allen,Ohio,39003,G3900030
Henderson,Henderson,Texas,48213,G4802130
Hampshire,Hampshire,Massachusetts,25015,G2500150
Sequatchie,Sequatchie,Tennessee,47153,G4701530
Norton,Norton,Kansas,20137,G2001370
Hamilton,Hamilton,Ohio,39061,G3900610
Wood,Wood,Texas,48499,G4804990
Douglas,Douglas,Oregon,41019,G4100190
Tunica,Tunica,Mississippi,28143,G2801430
Montgomery,Montgomery,Missouri,29139,G2901390
Ottawa,Ottawa,Michigan,26139,G2601390
Canyon,Canyon,Idaho,16027,G1600270
Fayette,Fayette,Tennessee,47047,G4700470
Cleveland,Cleveland,North Carolina,37045,G3700450
Robertson,Robertson,Kentucky,21201,G2102010
Scott,Scott,Missouri,29201,G2902010
Androscoggin,Androscoggin,Maine,23001,G2300010
Wake,Wake,North Carolina,37183,G3701830
Winnebago,Winnebago,Illinois,17201,G1702010
Kershaw,Kershaw,South Carolina,45055,G4500550
Eaton,Eaton,Michigan,26045,G2600450
Spartanburg,Spartanburg,South Carolina,45083,G4500830
Smith,Smith,Texas,48423,G4804230
Hubbard,Hubbard,Minnesota,27057,G2700570
Monroe,Monroe,New York,36055,G3600550
Warren,Warren,Illinois,17187,G1701870
Davidson,Davidson,Tennessee,47037,G4700370
Ashtabula,Ashtabula,Ohio,39007,G3900070
Peoria,Peoria,Illinois,17143,G1701430
Jefferson,Jefferson,Mississippi,28063,G2800630
Warren,Warren,New York,36113,G3601130
Mifflin,Mifflin,Pennsylvania,42087,G4200870
Madison,Madison,Alabama,01089,G0100890
Montgomery,Montgomery,New York,36057,G3600570
Floyd,Floyd,Kentucky,21071,G2100710
Cumberland,Cumberland,Maine,23005,G2300050
Hancock,Hancock,Ohio,39063,G3900630
Butler,Butler,Ohio,39017,G3900170
Newport,Newport,Rhode Island,44005,G4400050
Ripley,Ripley,Missouri,29181,G2901810
Stark,Stark,Ohio,39151,G3901510
Mingo,Mingo,West Virginia,54059,G5400590
Massac,Massac,Illinois,17127,G1701270
Clark,Clark,Indiana,18019,G1800190
Kane,Kane,Illinois,17089,G1700890
Franklin,Franklin,Missouri,29071,G2900710
Ingham,Ingham,Michigan,26065,G2600650
Wayne,Wayne,Missouri,29223,G2902230
Multnomah,Multnomah,Oregon,41051,G4100510
Blair,Blair,Pennsylvania,42013,G4200130
Potter,Potter,Texas,48375,G4803750
Mckean,Mckean,Pennsylvania,42083,G4200830
Imperial,Imperial,California,06025,G0600250
Robeson,Robeson,North Carolina,37155,G3701550
Wayne,Wayne,North Carolina,37191,G3701910
Hays,Hays,Texas,48209,G4802090
Lycoming,Lycoming,Pennsylvania,42081,G4200810
Perry,Perry,Kentucky,21193,G2101930
Oldham,Oldham,Kentucky,21185,G2101850
Pike,Pike,Kentucky,21195,G2101950
Wayne,Wayne,Tennessee,47181,G4701810
Jackson,Jackson,Mississippi,28059,G2800590
Polk,Polk,Iowa,19153,G1901530
Fayette,Fayette,Pennsylvania,42051,G4200510
Marion,Marion,Tennessee,47115,G4701150
Queens,Queens,New York,36081,G3600810
Mercer,Mercer,Illinois,17131,G1701310
Pulaski,Pulaski,Illinois,17153,G1701530
Eddy,Eddy,North Dakota,38027,G3800270
Jackson,Jackson,Illinois,17077,G1700770
Baltimore (city),Baltimore City (ic),Maryland,24510,G2405100
Herkimer,Herkimer,New York,36043,G3600430
Walker,Walker,Alabama,01127,G0101270
Whatcom,Whatcom,Washington,53073,G5300730
Reno,Reno,Kansas,20155,G2001550
Bristol,Bristol,Rhode Island,44001,G4400010
Marshall,Marshall,Iowa,19127,G1901270
Lincoln,Lincoln,Nebraska,31111,G3101110
Claiborne,Claiborne,Tennessee,47025,G4700250
Chatham,Chatham,North Carolina,37037,G3700370
Grant,Grant,West Virginia,54023,G5400230
Harnett,Harnett,North Carolina,37085,G3700850
Weld,Weld,Colorado,08123,G0801230
Marion,Marion,Missouri,29127,G2901270
Adams,Adams,Pennsylvania,42001,G4200010
Itasca,Itasca,Minnesota,27061,G2700610
New London,New London,Connecticut,09011,G0900110
Jasper,Jasper,Missouri,29097,G2900970
Austin,Austin,Texas,48015,G4800150
Pinal,Pinal,Arizona,04021,G0400210
Monterey,Monterey,California,06053,G0600530
Santa Clara,Santa Clara,California,06085,G0600850
Shelby,Shelby,Tennessee,47157,G4701570
Wells,Wells,North Dakota,38103,G3801030
Gladwin,Gladwin,Michigan,26051,G2600510
La Crosse,La Crosse,Wisconsin,55063,G5500630
San Diego,San Diego,California,06073,G0600730
Passaic,Passaic,New Jersey,34031,G3400310
Delta,Delta,Michigan,26041,G2600410
Will,Will,Illinois,17197,G1701970
Pasquotank,Pasquotank,North Carolina,37139,G3701390
Ashland,Ashland,Wisconsin,55003,G5500030
Treutlen,Treutlen,Georgia,13283,G1302830
Harford,Harford,Maryland,24025,G2400250
Erie,Erie,Pennsylvania,42049,G4200490
Portage,Portage,Ohio,39133,G3901330
Cambria,Cambria,Pennsylvania,42021,G4200210
Florence,Florence,South Carolina,45041,G4500410
Nolan,Nolan,Texas,48353,G4803530
Madison,Madison,North Carolina,37115,G3701150
Cherokee,Cherokee,North Carolina,37039,G3700390
Polk,Polk,Oregon,41053,G4100530
Terrebonne,Terrebonne,Louisiana,22109,G2201090
Mccurtain,Mccurtain,Oklahoma,40089,G4000890
Flathead,Flathead,Montana,30029,G3000290
Hartford,Hartford,Connecticut,09003,G0900030
Evangeline,Evangeline,Louisiana,22039,G2200390
Knox,Knox,Tennessee,47093,G4700930
Jefferson,Jefferson,Texas,48245,G4802450
Somerset,Somerset,Maine,23025,G2300250
Rock Island,Rock Island,Illinois,17161,G1701610
Turner,Turner,South Dakota,46125,G4601250
Traill,Traill,North Dakota,38097,G3800970
Sheridan,Sheridan,Wyoming,56033,G5600330
St Landry,St. Landry,Louisiana,22097,G2200970
Smyth,Smyth,Virginia,51173,G5101730
Boone,Boone,Arkansas,05009,G0500090
Cumberland,Cumberland,Tennessee,47035,G4700350
Northampton,Northampton,Pennsylvania,42095,G4200950
Pope,Pope,Arkansas,05115,G0501150
Lancaster,Lancaster,Pennsylvania,42071,G4200710
St Joseph,St. Joseph,Indiana,18141,G1801410
Cattaraugus,Cattaraugus,New York,36009,G3600090
Pottawattamie,Pottawattamie,Iowa,19155,G1901550
Cole,Cole,Missouri,29051,G2900510
Roberts,Roberts,South Dakota,46109,G4601090
Brown,Brown,Wisconsin,55009,G5500090
Dane,Dane,Wisconsin,55025,G5500250
Berrien,Berrien,Michigan,26021,G2600210
Winona,Winona,Minnesota,27169,G2701690
Perry,Perry,Arkansas,05105,G0501050
Cottle,Cottle,Texas,48101,G4801010
Lake,Lake,Ohio,39085,G3900850
Rock,Rock,Wisconsin,55105,G5501050
Benton,Benton,Arkansas,05007,G0500070
Mcdonald,Mcdonald,Missouri,29119,G2901190
Crawford,Crawford,Wisconsin,55023,G5500230
Bell,Bell,Texas,48027,G4800270
Phelps,Phelps,Nebraska,31137,G3101370
Hunt,Hunt,Texas,48231,G4802310
Putnam,Putnam,Florida,12107,G1201070
Little River,Little River,Arkansas,05081,G0500810
Elk,Elk,Pennsylvania,42047,G4200470
Chippewa,Chippewa,Michigan,26033,G2600330
Salt Lake,Salt Lake,Utah,49035,G4900350
Otsego,Otsego,New York,36077,G3600770
Butler,Butler,Pennsylvania,42019,G4200190
Rapides,Rapides,Louisiana,22079,G2200790
Holmes,Holmes,Florida,12059,G1200590
Lonoke,Lonoke,Arkansas,05085,G0500850
