county,state,number,pop1940,per_100,diff
Greene,Iowa,46,16599,277.125128,1.187060153
Grundy,Iowa,34,13518,251.5164965,1.077366073
Guthrie,Iowa,38,17210,220.8018594,0.945800516
Hamilton,Iowa,46,19922,230.900512,0.9890579
Hancock,Iowa,26,15402,168.8092456,0.723091155
Hardin,Iowa,32,22530,142.0328451,0.608394959
Harrison,Iowa,45,22767,197.6544999,0.846649247
Henry,Iowa,39,17994,216.738913,0.928396963
Howard,Iowa,29,13531,214.3226665,0.918047017
Humboldt,Iowa,32,13459,237.7591203,1.018436616
Ida,Iowa,23,11047,208.2013216,0.891826355
Iowa,Iowa,33,17016,193.9351199,0.830717354
Jackson,Iowa,27,19181,140.764298,0.602961162
Jasper,Iowa,64,31496,203.2004064,0.870405031
Jefferson,Iowa,43,15762,272.8080193,1.168567901
Johnson,Iowa,75,33191,225.96487,0.967916172
Jones,Iowa,33,19950,165.4135338,0.708545689
Keokuk,Iowa,43,18406,233.6194719,1.000704512
Kossuth,Iowa,69,26630,259.1062711,1.109876726
Lee,Iowa,98,41074,238.5937576,1.022011769
Linn,Iowa,213,89142,238.9446052,1.023514618
Louisa,Iowa,25,11384,219.6064652,0.940680068
Lucas,Iowa,21,14571,144.1218859,0.617343325
Lyon,Iowa,27,15374,175.6211786,0.752269939
Madison,Iowa,23,14525,158.3476764,0.678279225
Mahaska,Iowa,54,26485,203.8889938,0.873354581
Marion,Iowa,35,27019,129.5384729,0.554875556
Marshall,Iowa,52,35406,146.8677625,0.629105235
Mills,Iowa,31,15064,205.7886352,0.881491659
Mitchell,Iowa,32,14121,226.6128461,0.970691766
Monona,Iowa,41,18238,224.8053515,0.962949397
Monroe,Iowa,32,14553,219.8859342,0.941877168
Montgomery,Iowa,46,15697,293.0496273,1.255272439
Muscatine,Iowa,64,31296,204.4989775,0.875967435
O'brien,Iowa,42,19293,217.6955372,0.932494645
Osceola,Iowa,13,10607,122.5605732,0.524985857
Page,Iowa,56,24887,225.0170772,0.96385632
Palo Alto,Iowa,44,16170,272.1088435,1.165572995
Plymouth,Iowa,54,23502,229.7676793,0.984205433
Pocahontas,Iowa,33,16266,202.8771671,0.869020441
Polk,Iowa,450,195835,229.7852784,0.984280818
Pottawattamie,Iowa,152,66756,227.6948888,0.975326675
Poweshiek,Iowa,41,18758,218.5734087,0.93625499
Ringgold,Iowa,28,11137,251.4142049,1.076927909
Sac,Iowa,28,17639,158.7391575,0.679956127
Scott,Iowa,168,84748,198.2347666,0.849134808
Shelby,Iowa,29,16720,173.4449761,0.742948217
Sioux,Iowa,66,27209,242.5667978,1.03903021
St.ory,Iowa,95,33434,284.1418915,1.217116324
Tama,Iowa,39,22428,173.8897806,0.744853529
Taylor,Iowa,29,14258,203.3945855,0.871236793
Union,Iowa,33,16280,202.7027027,0.868273126
Van Buren,Iowa,31,12053,257.1973782,1.10170002
Wapello,Iowa,99,44280,223.5772358,0.957688787
Warren,Iowa,47,17695,265.6117547,1.13774284
Washington,Iowa,54,20055,269.2595363,1.153368042
Wayne,Iowa,31,13308,232.9425909,0.997805106
Webster,Iowa,97,41521,233.6167241,1.000692742
Winnebago,Iowa,33,13972,236.186659,1.011701009
Winneshiek,Iowa,30,22263,134.7527287,0.57721072
Woodbury,Iowa,234,103627,225.8098758,0.967252258
Worth,Iowa,28,11449,244.5628439,1.047580236
Wright,Iowa,39,20038,194.6302026,0.833694728
State At Large,Iowa,31,NA,NA,NA
Ada,Idaho,119,50401,236.1064265,1.011357334
Adams,Idaho,12,3407,352.2160258,1.508710569
Bannock,Idaho,89,34759,256.0487931,1.096780078
Bear Lake,Idaho,21,7911,265.4531665,1.13706353
Benewah,Idaho,20,7332,272.7768685,1.168434467
Bingham,Idaho,49,21044,232.8454666,0.997389076
Blaine,Idaho,8,5295,151.0859301,0.647173674
Boise,Idaho,9,2333,385.7693956,1.652435783
Bonner,Idaho,44,15667,280.8450884,1.202994532
Bonneville,Idaho,69,25697,268.5138343,1.150173842
Boundary,Idaho,17,5987,283.9485552,1.216288172
Butte,Idaho,4,1877,213.1060202,0.912835537
Camas,Idaho,6,1360,441.1764706,1.889770922
Canyon,Idaho,110,40987,268.3777783,1.149591049
Caribou,Idaho,9,2284,394.0455342,1.687886463
Cassia,Idaho,36,14430,249.4802495,1.068643848
Clark,Idaho,5,1005,497.5124378,2.131084953
Clearwater,Idaho,27,8243,327.550649,1.403056902
Custer,Idaho,10,3549,281.7695125,1.206954285
Elmore,Idaho,15,5518,271.8376223,1.164411224
Franklin,Idaho,17,10229,166.1941539,0.71188946
Fremont,Idaho,23,10304,223.2142857,0.956134097
Gem,Idaho,26,9544,272.4224644,1.166916384
Gooding,Idaho,24,9257,259.2632602,1.110549186
Idaho,Idaho,24,12691,189.1103932,0.81005073
Jefferson,Idaho,20,10762,185.8390634,0.796038052
Jerome,Idaho,46,9900,464.6464646,1.99030419
Kootenai,Idaho,66,22283,296.1899206,1.268723825
Latah,Idaho,54,18804,287.1729419,1.230099771
Lemhi,Idaho,20,6521,306.7014262,1.313749657
Lewis,Idaho,18,4666,385.7693956,1.652435783
Lincoln,Idaho,12,4230,283.6879433,1.215171846
Madison,Idaho,24,9186,261.2671457,1.119132791
Minidoka,Idaho,26,9870,263.4245187,1.128373857
Nez Perce,Idaho,63,18873,333.8102051,1.42986959
Oneida,Idaho,14,5417,258.4456341,1.1070469
Owyhee,Idaho,10,5652,176.9285209,0.757869914
Payette,Idaho,23,9511,241.825255,1.035853826
Power,Idaho,15,3965,378.3102144,1.620484523
Shoshone,Idaho,50,21230,235.5157796,1.00882731
Teton,Idaho,11,3601,305.4707026,1.308477876
Twin Falls,Idaho,86,36403,236.2442656,1.011947765
Valley,Idaho,14,4035,346.9640644,1.486213893
Washington,Idaho,26,8853,293.6857562,1.257997285
Yellow Stone NP,Idaho,1,NA,NA,NA
State At Large,Idaho,27,NA,NA,NA
Adams,Illinois,127,65229,194.698677,0.833988036
Alexander,Illinois,64,25496,251.0197678,1.075238345
Bond,Illinois,48,14540,330.1237964,1.414078929
Boone,Illinois,27,15202,177.6082094,0.760781347
Brown,Illinois,25,8053,310.4433131,1.329777957
Bureau,Illinois,85,37600,226.0638298,0.968340065
Calhoun,Illinois,21,8207,255.8791276,1.096053319
Carroll,Illinois,32,17987,177.9062656,0.762058065
Cass,Illinois,37,16425,225.2663623,0.964924128
Champaign,Illinois,181,70578,256.4538525,1.098515142
Christian,Illinois,81,38564,210.0404522,0.899704235
Clark,Illinois,35,18842,185.7552277,0.795678943
Clay,Illinois,50,18947,263.8940202,1.130384957
Clinton,Illinois,45,22912,196.4036313,0.841291175
Coles,Illinois,95,38470,246.945672,1.057787034
Cook,Illinois,9721,4063342,239.2365693,1.024765241
Crawford,Illinois,61,21294,286.4656711,1.227070189
Cumberland,Illinois,19,11698,162.4209267,0.695726914
De Kalb,Illinois,117,34388,340.2349657,1.457389928
De Witt,Illinois,42,18244,230.2126727,0.986111553
Douglas,Illinois,48,17590,272.8823195,1.168886164
Du Page,Illinois,253,103480,244.4916892,1.047275446
Edgar,Illinois,55,24430,225.1330332,0.964353015
Edwards,Illinois,11,8974,122.5763316,0.525053358
Effingham,Illinois,67,22034,304.0755197,1.302501637
Fayette,Illinois,66,29159,226.3452107,0.969545355
Ford,Illinois,31,15007,206.5702672,0.884839764
Franklin,Illinois,129,53137,242.7686922,1.039895022
Fulton,Illinois,68,44627,152.3741233,0.652691625
Gallatin,Illinois,23,11414,201.5069213,0.86315102
Greene,Illinois,43,20292,211.9061699,0.907696001
Grundy,Illinois,44,18398,239.15643,1.024421966
Hamilton,Illinois,45,13454,334.4730192,1.432708741
Hancock,Illinois,65,26297,247.176484,1.058775713
Hardin,Illinois,28,7759,360.8712463,1.545785039
Henderson,Illinois,18,8949,201.1397922,0.861578429
Henry,Illinois,74,43798,168.9574866,0.723726143
Iroquois,Illinois,61,32496,187.7154111,0.804075351
Jackson,Illinois,89,37920,234.7046414,1.005352815
Jasper,Illinois,42,13431,312.7094036,1.339484713
Jefferson,Illinois,118,34375,343.2727273,1.470402121
Jersey,Illinois,33,13636,242.0064535,1.036629987
Jo Daviess,Illinois,49,19989,245.1348242,1.050030302
Johnson,Illinois,30,10727,279.6681272,1.197953041
Kane,Illinois,304,130206,233.4761839,1.000090741
Kankakee,Illinois,131,60877,215.188002,0.921753666
Kendall,Illinois,26,11105,234.1287708,1.002886084
Knox,Illinois,113,52250,216.2679426,0.92637957
Lake,Illinois,257,121094,212.2318199,0.909090916
La Salle,Illinois,250,97801,255.6211082,1.094948098
Lawrence,Illinois,62,21075,294.1874259,1.260146177
Lee,Illinois,84,34604,242.7465033,1.039799976
Livingston,Illinois,87,38838,224.0074154,0.959531453
Logan,Illinois,71,29438,241.1848631,1.03311072
Macon,Illinois,176,84693,207.8093821,0.890147489
Macoupin,Illinois,102,46304,220.2833449,0.943579469
Madison,Illinois,346,149349,231.6721237,0.992363084
Marion,Illinois,102,47989,212.5487091,0.910448305
Marshall,Illinois,28,13179,212.4592154,0.910064961
Mason,Illinois,46,15358,299.5181664,1.282980302
Massac,Illinois,33,14937,220.9278972,0.946340396
Mcdonough,Illinois,65,26944,241.2410926,1.033351578
Mchenry,Illinois,89,37311,238.5355525,1.021762449
Mclean,Illinois,169,73930,228.5946165,0.979180641
Menard,Illinois,15,10663,140.6733565,0.602571615
Mercer,Illinois,44,17701,248.5735269,1.064759919
Monroe,Illinois,20,12754,156.8135487,0.671707818
Montgomery,Illinois,87,34499,252.1812226,1.080213414
Morgan,Illinois,80,36378,219.9131343,0.941993679
Moultrie,Illinois,32,13477,237.4415671,1.017076384
Ogle,Illinois,65,29869,217.6169272,0.93215792
Peoria,Illinois,343,153374,223.6363399,0.957941959
Perry,Illinois,46,23438,196.2624797,0.840686555
Piatt,Illinois,39,14659,266.0481615,1.13961218
Pike,Illinois,61,25340,240.7261247,1.031145723
Pope,Illinois,15,7999,187.5234404,0.803253048
Pulaski,Illinois,26,15875,163.7795276,0.701546455
Putnam,Illinois,12,5289,226.8859898,0.971861771
Randolph,Illinois,65,33608,193.4063318,0.828452301
Richland,Illinois,43,17137,250.919064,1.074806982
Rock Island,Illinois,267,113323,235.6097174,1.00922969
Saline,Illinois,80,38066,210.1612988,0.900221879
Sangamon,Illinois,271,117912,229.8324174,0.984482737
Schuyler,Illinois,22,11430,192.4759405,0.824466987
Scott,Illinois,24,8176,293.5420744,1.257381827
Shelby,Illinois,67,26290,254.8497528,1.091644012
St.ark,Illinois,20,8881,225.1998649,0.964639288
St Clair,Illinois,349,166899,209.1085027,0.895712248
St.ephenson,Illinois,82,40646,201.7418688,0.864157413
Tazewell,Illinois,101,58362,173.0578116,0.741289806
Union,Illinois,42,21528,195.0947603,0.835684651
Vermilion,Illinois,184,86791,212.0035488,0.908113121
Wabash,Illinois,37,13724,269.6006995,1.154829408
Warren,Illinois,45,21286,211.4065583,0.905555924
Washington,Illinois,24,15801,151.8891209,0.650614127
Wayne,Illinois,60,22092,271.5915263,1.163357077
White,Illinois,53,20027,264.6427323,1.133592051
Whiteside,Illinois,116,43338,267.6634824,1.146531376
Will,Illinois,271,114210,237.2821995,1.016393735
Williamson,Illinois,111,51424,215.8525202,0.924600117
Winnebago,Illinois,285,121178,235.1912063,1.007437006
Woodford,Illinois,50,19124,261.4515792,1.119922808
State At Large,Illinois,103,NA,NA,NA
Adams,Indiana,54,21254,254.0698222,1.088303194
Allen,Indiana,291,155084,187.6402466,0.803753385
Bartholomew,Indiana,68,28276,240.4866318,1.030119859
Benton,Indiana,49,11117,440.7663938,1.888014366
Blackford,Indiana,35,13783,253.9360081,1.087730004
Boone,Indiana,41,22081,185.6799964,0.795356691
Brown,Indiana,9,6189,145.4192923,0.62290074
Carroll,Indiana,41,15410,266.0609994,1.139667171
Cass,Indiana,88,36908,238.4306925,1.021313283
Clark,Indiana,91,31020,293.3591231,1.256598159
Clay,Indiana,61,25365,240.4888626,1.030129415
Clinton,Indiana,63,28411,221.7450987,0.949840863
Crawford,Indiana,31,10171,304.7881231,1.30555406
Daviess,Indiana,59,26163,225.509307,0.965964777
Dearborn,Indiana,62,23053,268.9454735,1.15202276
Decatur,Indiana,35,17722,197.4946394,0.845964488
De Kalb,Indiana,47,24756,189.8529649,0.813231522
Delaware,Indiana,158,74963,210.7706469,0.90283201
Dubois,Indiana,43,22579,190.4424465,0.815756555
Elkhart,Indiana,181,72634,249.1945921,1.06742024
Fayette,Indiana,41,19411,211.220442,0.904758699
Floyd,Indiana,78,35061,222.4694105,0.952943439
Fountain,Indiana,41,18299,224.0559593,0.95973939
Franklin,Indiana,27,14412,187.3438801,0.802483905
Fulton,Indiana,34,15577,218.2705271,0.934957602
Gibson,Indiana,66,30709,214.9207073,0.920608714
Grant,Indiana,113,55813,202.4617921,0.86724119
Greene,Indiana,65,31330,207.4688797,0.888688954
Hamilton,Indiana,48,24614,195.0109694,0.835325735
Hancock,Indiana,33,17302,190.7293954,0.816985695
Harrison,Indiana,53,17106,309.8328072,1.327162867
Hendricks,Indiana,36,20151,178.6511836,0.765248907
Henry,Indiana,87,40208,216.3748508,0.926837509
Howard,Indiana,116,47752,242.9217624,1.040550695
Huntington,Indiana,67,29931,223.8481842,0.958849389
Jackson,Indiana,72,26612,270.554637,1.158915581
Jasper,Indiana,34,14397,236.1603112,1.011588148
Jay,Indiana,56,22601,247.7766471,1.0613465
Jefferson,Indiana,37,19912,185.8175974,0.795946103
Jennings,Indiana,35,13680,255.8479532,1.095919784
Johnson,Indiana,52,22493,231.1830347,0.99026808
Knox,Indiana,109,43973,247.8793805,1.061786556
Kosciusko,Indiana,46,29561,155.6104327,0.666554294
Lagrange,Indiana,24,14352,167.2240803,0.71630113
Lake,Indiana,815,293195,277.9719982,1.190687705
La Porte,Indiana,183,63660,287.464656,1.231349322
Lawrence,Indiana,77,35045,219.7175061,0.941155709
Madison,Indiana,228,88575,257.4089754,1.102606393
Marion,Indiana,1055,460926,228.8870665,0.980433345
Marshall,Indiana,63,25935,242.9149798,1.040521641
Martin,Indiana,23,10300,223.3009709,0.956505412
Miami,Indiana,66,27926,236.3388957,1.012353112
Monroe,Indiana,92,36534,251.8202223,1.078667076
Montgomery,Indiana,70,27231,257.0599684,1.101111428
Morgan,Indiana,57,19801,287.8642493,1.233060972
Newton,Indiana,31,10775,287.7030162,1.232370334
Noble,Indiana,49,22776,215.1387425,0.921542664
Ohio,Indiana,9,3782,237.9693284,1.019337039
Orange,Indiana,38,17311,219.5136041,0.940282299
Owen,Indiana,16,12090,132.3407775,0.566879174
Parke,Indiana,34,17358,195.8751008,0.839027225
Perry,Indiana,50,17770,281.3731007,1.205256262
Pike,Indiana,30,17045,176.0046935,0.753912717
Porter,Indiana,49,27836,176.0310389,0.754025568
Posey,Indiana,56,19183,291.9251421,1.250455728
Pulaski,Indiana,43,12056,356.6688786,1.527784278
Putnam,Indiana,49,20839,235.136043,1.007200715
Randolph,Indiana,59,26766,220.4289023,0.944202961
Ripley,Indiana,39,18898,206.3710446,0.883986398
Rush,Indiana,31,18927,163.7871823,0.701579244
Scott,Indiana,40,8978,445.5335264,1.908434287
Shelby,Indiana,56,25953,215.7746696,0.924266645
Spencer,Indiana,49,16211,302.2638949,1.294741577
St.arke,Indiana,19,12258,155.0008158,0.663943012
St.euben,Indiana,37,13740,269.286754,1.153484629
St Joseph,Indiana,430,161823,265.7224251,1.138216895
Sullivan,Indiana,63,27014,233.2124084,0.998960863
Switzerland,Indiana,16,8167,195.910371,0.839178304
Tippecanoe,Indiana,146,51020,286.1622893,1.225770659
Tipton,Indiana,29,15135,191.6088537,0.820752837
Union,Indiana,15,6017,249.2936679,1.067844629
Vanderburgh,Indiana,298,130783,227.8583608,0.976026904
Vermillion,Indiana,50,21787,229.4946528,0.983035929
Vigo,Indiana,211,99709,211.615802,0.906452216
Wabash,Indiana,56,26601,210.5184016,0.901751522
Warren,Indiana,25,9055,276.0905577,1.182628591
Warrick,Indiana,54,19435,277.8492411,1.190161877
Washington,Indiana,66,17008,388.0526811,1.662216192
Wayne,Indiana,134,59229,226.2405241,0.969096931
Wells,Indiana,28,19099,146.6045343,0.627977701
White,Indiana,36,17037,211.3048072,0.905120075
Whitley,Indiana,38,17001,223.5162637,0.957427615
State At Large,Indiana,46,NA,NA,NA
Allen,Kansas,37,19874,186.1728892,0.797467988
Anderson,Kansas,26,11658,223.0228169,0.955313945
Atchison,Kansas,45,22222,202.502025,0.867413527
Barber,Kansas,35,9073,385.7599471,1.65239531
Barton,Kansas,64,25010,255.8976409,1.096132621
Bourbon,Kansas,50,20944,238.7318564,1.022603313
Brown,Kansas,45,17395,258.6950273,1.108115171
Butler,Kansas,100,32013,312.3730984,1.338044156
Chase,Kansas,15,6345,236.4066194,1.012643205
Chautauqua,Kansas,28,9233,303.2600455,1.299008569
Cherokee,Kansas,77,29817,258.2419425,1.106174391
Cheyenne,Kansas,10,6221,160.7458608,0.688551801
Clark,Kansas,12,4081,294.0455771,1.259538571
Clay,Kansas,29,13281,218.3570514,0.935328228
Cloud,Kansas,39,17247,226.1262828,0.968607581
Coffey,Kansas,20,12278,162.8929793,0.697748942
Comanche,Kansas,13,4412,294.6509519,1.262131683
Cowley,Kansas,85,38139,222.8689793,0.954654984
Crawford,Kansas,123,44191,278.337218,1.192252117
Decatur,Kansas,23,7434,309.3892924,1.32526308
Dickinson,Kansas,56,22929,244.232195,1.046163908
Doniphan,Kansas,30,12936,231.9109462,0.993386075
Douglas,Kansas,74,25171,293.9891145,1.259296714
Edwards,Kansas,21,6377,329.3084523,1.410586418
Elk,Kansas,19,8180,232.2738386,0.994940518
Ellis,Kansas,41,17508,234.1786612,1.003099789
Ellsworth,Kansas,18,9855,182.6484018,0.782370914
Finney,Kansas,32,10092,317.0828379,1.358218234
Ford,Kansas,55,17254,318.7666628,1.365430866
Franklin,Kansas,34,20889,162.7650917,0.697201138
Geary,Kansas,65,15222,427.013533,1.829104252
Gove,Kansas,12,4793,250.3651158,1.072434156
Graham,Kansas,14,6071,230.6045133,0.987789995
Grant,Kansas,5,1946,256.9373073,1.100586011
Gray,Kansas,16,4773,335.2189399,1.435903878
Greeley,Kansas,10,1638,610.5006105,2.615067617
Greenwood,Kansas,41,16495,248.5601697,1.064702704
Hamilton,Kansas,11,2645,415.879017,1.781409766
Harper,Kansas,21,12068,174.0139211,0.745385282
Harvey,Kansas,67,21712,308.5851142,1.321818399
Haskell,Kansas,10,2088,478.9272031,2.051475458
Hodgeman,Kansas,8,3535,226.3083451,0.969387441
Jackson,Kansas,43,13382,321.3271559,1.376398689
Jefferson,Kansas,35,12718,275.2005032,1.17881606
Jewell,Kansas,30,11970,250.6265664,1.073554074
Johnson,Kansas,68,33327,204.0387674,0.873996134
Kearny,Kansas,6,2525,237.6237624,1.017856813
Kingman,Kansas,37,12001,308.307641,1.320629847
Kiowa,Kansas,10,5112,195.6181534,0.837926596
Labette,Kansas,79,30352,260.2793885,1.114901752
Lane,Kansas,4,2821,141.7936902,0.607370543
Leavenworth,Kansas,93,41112,226.2113252,0.968971858
Lincoln,Kansas,28,8338,335.8119453,1.438444006
Linn,Kansas,23,11969,192.163088,0.823126889
Logan,Kansas,21,3688,569.4143167,2.439075268
Lyon,Kansas,93,26424,351.9527702,1.507582918
Marion,Kansas,37,18951,195.2403567,0.836308311
Marshall,Kansas,36,20986,171.5429334,0.734800854
Mcpherson,Kansas,58,24152,240.1457436,1.028659672
Meade,Kansas,13,5522,235.4219486,1.008425386
Miami,Kansas,31,19489,159.0640874,0.681347958
Mitchell,Kansas,24,11339,211.6588764,0.906636724
Montgomery,Kansas,138,49729,277.5040721,1.188683353
Morris,Kansas,45,10363,434.23719,1.860046647
Morton,Kansas,4,2186,182.9826167,0.783802517
Nemaha,Kansas,31,16761,184.9531651,0.792243323
Neosho,Kansas,48,22210,216.1188654,0.925741001
Ness,Kansas,16,6864,233.1002331,0.998480363
Norton,Kansas,22,9831,223.7819144,0.958565524
Osage,Kansas,30,15118,198.438947,0.850009411
Osborne,Kansas,28,9835,284.6975089,1.219496301
Ottawa,Kansas,24,9224,260.1908066,1.114522313
Pawnee,Kansas,18,10300,174.7572816,0.748569453
Phillips,Kansas,20,10435,191.6626737,0.820983375
Pottawatomie,Kansas,37,14015,264.0028541,1.130851145
Pratt,Kansas,35,12348,283.446712,1.214138536
Rawlins,Kansas,10,6618,151.1030523,0.647247017
Reno,Kansas,109,52165,208.9523627,0.895043425
Republic,Kansas,28,13124,213.3495885,0.913878857
Rice,Kansas,44,17213,255.6207518,1.094946571
Riley,Kansas,62,20617,300.7227046,1.288139918
Rooks,Kansas,20,8497,235.377192,1.008233672
Rush,Kansas,17,8285,205.1901026,0.878927856
Russell,Kansas,40,13464,297.0885324,1.272573011
Saline,Kansas,70,29535,237.0069409,1.015214671
Scott,Kansas,9,3773,238.5369732,1.021768535
Sedgwick,Kansas,397,143311,277.0199078,1.186609444
Seward,Kansas,12,6540,183.4862385,0.785959772
Shawnee,Kansas,172,91247,188.4993479,0.807433329
Sheridan,Kansas,11,5312,207.0783133,0.88701597
Sherman,Kansas,16,6421,249.1823703,1.067367888
Smith,Kansas,31,10582,292.950293,1.254846942
St.afford,Kansas,25,10487,238.3903881,1.02114064
St.anton,Kansas,2,1443,138.6001386,0.593691027
St.evens,Kansas,13,3193,407.1406201,1.743979011
Sumner,Kansas,70,26163,267.5534151,1.146059905
Thomas,Kansas,22,6425,342.4124514,1.466717146
Trego,Kansas,19,5822,326.3483339,1.397906808
Wabaunsee,Kansas,12,9219,130.1659616,0.557563392
Wallace,Kansas,3,2216,135.3790614,0.579893604
Washington,Kansas,40,15921,251.2405,1.076183847
Wichita,Kansas,23,2185,1052.631579,4.508927112
Wilson,Kansas,32,17723,180.5563392,0.773409605
Woodson,Kansas,26,8014,324.4322436,1.389699272
Wyandotte,Kansas,364,145071,250.9116226,1.074775107
State At Large,Kansas,26,NA,NA,NA
Adair,Kentucky,45,18566,242.3785414,1.038223818
Allen,Kentucky,34,15496,219.411461,0.939844771
Anderson,Kentucky,27,8936,302.1486124,1.294247767
Ballard,Kentucky,27,9480,284.8101266,1.219978696
Barren,Kentucky,52,27559,188.6860917,0.808233243
Bath,Kentucky,29,11451,253.252991,1.084804313
Bell,Kentucky,91,43812,207.7056514,0.889703161
Boone,Kentucky,26,10820,240.2957486,1.029302215
Bourbon,Kentucky,33,17932,184.0285523,0.788282762
Boyd,Kentucky,118,45938,256.8679525,1.100288931
Boyle,Kentucky,39,17075,228.4040996,0.978364565
Bracken,Kentucky,21,9389,223.6659921,0.958068973
Breathitt,Kentucky,78,23946,325.732899,1.395270605
Breckinridge,Kentucky,51,17744,287.4211001,1.231162751
Bullitt,Kentucky,23,9511,241.825255,1.035853826
Butler,Kentucky,33,14371,229.6291142,0.983611892
Caldwell,Kentucky,23,14499,158.6316298,0.679495533
Calloway,Kentucky,39,19041,204.8211754,0.877347563
Campbell,Kentucky,174,71918,241.942212,1.036354809
Carlisle,Kentucky,25,7650,326.7973856,1.399830313
Carroll,Kentucky,24,8657,277.2322976,1.187519212
Carter,Kentucky,60,25545,234.8796242,1.00610235
Casey,Kentucky,44,19962,220.4187957,0.94415967
Christian,Kentucky,48,36129,132.8572615,0.569091523
Clark,Kentucky,46,17988,255.7260396,1.095397569
Clay,Kentucky,68,23901,284.5069244,1.218679936
Clinton,Kentucky,24,10279,233.4857476,1.000131707
Crittenden,Kentucky,29,12115,239.3726785,1.025348262
Cumberland,Kentucky,35,11923,293.550281,1.25741698
Daviess,Kentucky,129,52335,246.4889653,1.05583074
Edmonson,Kentucky,27,11344,238.0112835,1.019516753
Elliott,Kentucky,25,8713,286.9275795,1.229048765
Estill,Kentucky,51,17978,283.6800534,1.21513805
Fayette,Kentucky,206,78899,261.0932965,1.118388111
Fleming,Kentucky,38,13327,285.1354393,1.221372167
Floyd,Kentucky,117,52986,220.813045,0.945848429
Franklin,Kentucky,46,23308,197.3571306,0.845375471
Fulton,Kentucky,34,15413,220.5930059,0.944905896
Gallatin,Kentucky,9,4307,208.9621546,0.895085368
Garrard,Kentucky,23,11910,193.1150294,0.827204512
Grant,Kentucky,17,9876,172.1344674,0.737334679
Graves,Kentucky,71,31763,223.5305229,0.957488693
Grayson,Kentucky,49,17562,279.0115021,1.1951404
Green,Kentucky,23,12321,186.6731596,0.799610887
Greenup,Kentucky,61,24917,244.8127784,1.048650825
Hancock,Kentucky,10,6807,146.9075951,0.629275857
Hardin,Kentucky,80,29108,274.8385324,1.177265565
Harlan,Kentucky,183,75275,243.1086018,1.041351018
Harrison,Kentucky,31,15124,204.9722296,0.877994601
Hart,Kentucky,36,17239,208.8288184,0.894514225
Henderson,Kentucky,70,27020,259.0673575,1.109710041
Henry,Kentucky,30,12220,245.4991817,1.05159102
Hickman,Kentucky,18,9142,196.8934588,0.843389342
Hopkins,Kentucky,93,37789,246.1033634,1.054179021
Jackson,Kentucky,34,16339,208.0910704,0.891354096
Jefferson,Kentucky,896,385392,232.4905551,0.995868819
Jessamine,Kentucky,25,12174,205.355676,0.879637087
Johnson,Kentucky,73,25771,283.2641341,1.213356467
Kenton,Kentucky,225,93139,241.574421,1.034779384
Knott,Kentucky,68,20007,339.8810416,1.455873901
Knox,Kentucky,81,31029,261.0461181,1.118186024
Larue,Kentucky,22,9622,228.6426938,0.979386579
Laurel,Kentucky,65,25640,253.5101404,1.085905808
Lawrence,Kentucky,42,17275,243.1259045,1.041425133
Lee,Kentucky,42,10860,386.7403315,1.656594768
Leslie,Kentucky,40,14981,267.0048728,1.143710235
Letcher,Kentucky,119,40592,293.161214,1.255750419
Lewis,Kentucky,48,15686,306.0053551,1.31076805
Lincoln,Kentucky,36,19859,181.27801,0.776500867
Livingston,Kentucky,22,9127,241.0430591,1.032503305
Logan,Kentucky,45,23345,192.7607625,0.825687017
Lyon,Kentucky,15,9067,165.4350943,0.708638043
Madison,Kentucky,54,28541,189.2014996,0.810440983
Magoffin,Kentucky,38,17490,217.2670097,0.930659055
Marion,Kentucky,32,16913,189.2035712,0.810449856
Marshall,Kentucky,43,16602,259.0049392,1.109442673
Martin,Kentucky,27,10970,246.1257976,1.054275118
Mason,Kentucky,51,19066,267.4918703,1.145796279
Mccracken,Kentucky,102,48534,210.1619483,0.900224661
Mccreary,Kentucky,31,16451,188.4383928,0.807172229
Mclean,Kentucky,27,11446,235.8902673,1.010431421
Meade,Kentucky,23,8827,260.5641781,1.116121643
Menifee,Kentucky,16,5691,281.1456686,1.204282061
Mercer,Kentucky,67,14629,457.9943947,1.961810176
Metcalfe,Kentucky,17,10853,156.6387174,0.670958932
Monroe,Kentucky,36,14070,255.8635394,1.095986547
Montgomery,Kentucky,30,12280,244.2996743,1.046452954
Morgan,Kentucky,43,16827,255.541689,1.094607907
Muhlenberg,Kentucky,81,37554,215.6894073,0.923901425
Nelson,Kentucky,37,18004,205.5098867,0.880297645
Nicholas,Kentucky,20,8617,232.0993385,0.99419305
Ohio,Kentucky,43,24421,176.0779657,0.754226578
Oldham,Kentucky,14,10716,130.6457633,0.559618613
Owen,Kentucky,17,10942,155.36465,0.665501488
Owsley,Kentucky,23,8957,256.7824048,1.09992249
Pendleton,Kentucky,19,10392,182.8329484,0.783161416
Perry,Kentucky,144,47828,301.0788659,1.289665528
Pike,Kentucky,176,71122,247.4621074,1.059999175
Powell,Kentucky,20,7671,260.7222005,1.116798529
Pulaski,Kentucky,119,39863,298.5224394,1.278715124
Robertson,Kentucky,6,3419,175.4899093,0.75170765
Rockcastle,Kentucky,40,17165,233.0323332,0.998189515
Rowan,Kentucky,49,12734,384.7966075,1.648268863
Russell,Kentucky,30,13615,220.3452075,0.943844456
Scott,Kentucky,38,14314,265.4743608,1.137154316
